Datetime,Open,High,Low,Close,Adj Close,Volume
2024-06-24 21:35:00+00:00,59904.83203125,59932.6640625,59900.37109375,59932.6640625,59932.6640625,0
2024-06-24 21:40:00+00:00,59880.83984375,59884.21484375,59870.49609375,59870.49609375,59870.49609375,96567296
2024-06-24 21:45:00+00:00,59874.32421875,59920.35546875,59867.55078125,59867.55078125,59867.55078125,86224896
2024-06-24 21:50:00+00:00,59871.59375,59967.80078125,59871.59375,59967.80078125,59967.80078125,79200256
2024-06-24 21:55:00+00:00,59936.90234375,60009.55859375,59936.90234375,60009.55859375,60009.55859375,86589440
2024-06-24 22:00:00+00:00,60044.23828125,60044.23828125,60030.08984375,60030.08984375,60030.08984375,26431488
2024-06-24 22:05:00+00:00,60017.828125,60017.828125,59971.1640625,59989.5078125,59989.5078125,0
2024-06-24 22:10:00+00:00,59997.265625,60042.125,59997.265625,60042.125,60042.125,11608064
2024-06-24 22:15:00+00:00,60050.52734375,60050.52734375,59986.5234375,59986.5234375,59986.5234375,25976832
2024-06-24 22:20:00+00:00,59997.4921875,60033.28125,59997.4921875,60033.28125,60033.28125,12619776
2024-06-24 22:25:00+00:00,60115.34375,60127.64453125,60115.34375,60127.64453125,60127.64453125,79499264
2024-06-24 22:30:00+00:00,60129.5234375,60129.5234375,60124.7734375,60124.7734375,60124.7734375,21815296
2024-06-24 22:35:00+00:00,60134.43359375,60153.046875,60134.43359375,60153.046875,60153.046875,30556160
2024-06-24 22:40:00+00:00,60242.8359375,60242.8359375,60117.234375,60117.234375,60117.234375,66895872
2024-06-24 22:45:00+00:00,60094.30078125,60094.30078125,60083.96484375,60091.94140625,60091.94140625,17698816
2024-06-24 22:50:00+00:00,60099.28515625,60099.28515625,60061.24609375,60066.6640625,60066.6640625,38883328
2024-06-24 22:55:00+00:00,60056.1640625,60056.1640625,60026.8515625,60026.8515625,60026.8515625,4476928
2024-06-24 23:00:00+00:00,60023.98046875,60023.98046875,59980.7109375,59980.7109375,59980.7109375,0
2024-06-24 23:05:00+00:00,59972.37890625,60080.6171875,59972.37890625,60080.6171875,60080.6171875,35086336
2024-06-24 23:10:00+00:00,60107.28515625,60200.25,60107.28515625,60200.25,60200.25,32661504
2024-06-24 23:15:00+00:00,60201.25390625,60201.25390625,60148.03515625,60151.9296875,60151.9296875,56557568
2024-06-24 23:20:00+00:00,60147.6796875,60147.6796875,60138.20703125,60138.20703125,60138.20703125,0
2024-06-24 23:25:00+00:00,60197.2734375,60212.50390625,60187.921875,60187.921875,60187.921875,49324032
2024-06-24 23:30:00+00:00,60183.82421875,60191.47265625,60183.82421875,60186.96875,60186.96875,0
2024-06-24 23:35:00+00:00,60217.48828125,60261.25,60217.48828125,60261.25,60261.25,0
2024-06-24 23:40:00+00:00,60284.41015625,60329.91015625,60284.41015625,60329.91015625,60329.91015625,0
